;Common_name;Scientific_name;Former_genus;Biome;Food;Foraging_site;Nest_type;Nest_site;Nest_parasitation;Notes;superficy;upperalt;loweralt;movement
494;Crested Barbet;Trachyphonus vaillantii;NA;Savanna - Dry & Shrubland - Subtropical/Tropical Dry;;;;;;;5560000;1800;NA;Resident
495;African Green-pigeon;Treron calvus;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry & Shrubland - Subtropical/Tropical Moist;;;;;;;17900000;NA;NA;Migratory
496;House Wren;Troglodytes aedon;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;;;;;;;49100000;3000;NA;Migratory
497;Southern House Wren;Troglodytes aedon musculus;subspecies in redlist;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;;;;;;;NA;NA;NA;NA
498;Blackcap Babbler;Turdoides reinwardtii;NA;Forest - Subtropical/Tropical Dry;;;;;;;3700000;1000;NA;Resident
499;Abyssinian Thrush;Turdus abyssinicus;NA;Forest - Subtropical/Tropical Moist Montane;;;;;;;2740000;3780;900;Resident
500;Austral Thrush;Turdus falcklandii;NA;Forest - Temperate & Shrubland - Temperate;;;;;;;2590000;2150;NA;Migratory
501;Great Thrush;Turdus fuscater;NA;Forest - Subtropical/Tropical Moist Montane & Shrubland - Subtropical/Tropical High Altitude;;;;;;;3400000;4250;1500;Resident
502;Kurrichane Thrush;Turdus libonyana;NA;Savanna - Dry;;;;;;;6270000;2200;NA;Resident
503;Eurasian Blackbird;Turdus merula;NA;Forest - Temperate;;;;;;;32400000;2300;NA;Migratory
504;American Robin;Turdus migratorius;NA;Forest - Temperate;;;;;;;22700000;3500;1200;Migratory
505;Pale Thrush;Turdus pallidus;NA;Forest - Temperate;;;;;;;1710000;NA;NA;Migratory
506;African Thrush;Turdus pelios;NA;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Montane;;;;;;;14800000;3000;NA;Resident
507;Song Thrush;Turdus philomelos;NA;Forest - Temperate;;;;;;;23300000;2800;NA;Migratory
